booking_id;booking_date;customer_id;flight_id;booking_channel;fare_class;fare_family;ticket_price_usd;ancillary_revenue_usd;bags_count;seat_selection_flag;booking_status
BKG000001;2024-11-08;CUST0163;FLT00001;Mobile App;Economy;Flex;$153,40;$48,00;2;1;Confirmed
BKG000002;2024-12-16;CUST0277;FLT00001;Travel Agency;Economy;Flex;$135,70;$30,00;1;0;Flown
BKG000003;2024-11-05;CUST0014;FLT00001;Web;Economy;Flex;$87,32;$0,00;0;1;Flown
BKG000004;2024-12-20;CUST0095;FLT00001;Travel Agency;Business;Standard;$400,80;$0,00;0;1;Flown
BKG000005;2024-12-21;CUST0115;FLT00001;Travel Agency;Economy;Standard;$102,00;$30,00;1;0;Flown
BKG000006;2024-11-10;CUST0273;FLT00001;Travel Agency;Economy;Flex;$114,46;$0,00;0;0;Flown
BKG000007;2024-12-21;CUST0119;FLT00001;Web;Economy;Standard;$137,00;$36,00;2;1;Flown
BKG000008;2024-12-14;CUST0086;FLT00001;Travel Agency;Business;Flex;$368,16;$18,00;1;0;Flown
BKG000009;2024-12-23;CUST0169;FLT00001;Corporate Desk;Economy;Flex;$138,06;$30,00;1;1;No Show
BKG000010;2024-12-24;CUST0198;FLT00001;Travel Agency;Economy;Basic;$151,20;$12,00;0;1;Flown
BKG000011;2024-11-21;CUST0289;FLT00001;Mobile App;Economy;Flex;$187,62;$18,00;1;0;Flown
BKG000012;2024-12-05;CUST0098;FLT00001;Web;Economy;Flex;$119,18;$18,00;1;0;Flown
BKG000013;2024-11-18;CUST0106;FLT00001;Travel Agency;Economy;Standard;$166,00;$36,00;2;0;Changed
BKG000014;2024-12-14;CUST0298;FLT00001;Travel Agency;Economy;Basic;$68,40;$48,00;2;0;Flown
BKG000015;2024-12-19;CUST0180;FLT00001;Mobile App;Business;Standard;$223,20;$0,00;0;0;Confirmed
BKG000016;2024-12-07;CUST0063;FLT00001;Corporate Desk;Economy;Flex;$159,30;$36,00;2;0;Confirmed
BKG000017;2024-11-06;CUST0218;FLT00001;Web;Economy;Standard;$104,00;$18,00;1;0;Changed
BKG000018;2024-12-23;CUST0219;FLT00001;Travel Agency;Economy;Standard;$90,00;$30,00;1;1;Flown
BKG000019;2024-12-21;CUST0073;FLT00001;Travel Agency;Economy;Basic;$75,60;$18,00;1;0;Flown
BKG000020;2024-12-16;CUST0212;FLT00001;Web;Economy;Standard;$163,00;$0,00;0;0;Flown
BKG000021;2024-12-01;CUST0183;FLT00001;Web;Economy;Basic;$117,90;$18,00;1;0;Changed
BKG000022;2024-12-27;CUST0026;FLT00001;Travel Agency;Economy;Standard;$74,00;$30,00;1;0;Flown
BKG000023;2024-11-02;CUST0046;FLT00001;Corporate Desk;Economy;Basic;$149,40;$18,00;1;0;Flown
